cp,u,r,f_A,f_B,abs_dr_du
0.00000000,0.00000000,1.25000000,1.00000000,1.00000000,0.50000000
0.06666667,0.00000000,1.22549020,1.00000000,1.00000000,0.49019608
0.13333333,0.00000000,1.20192308,1.00000000,1.00000000,0.48076923
0.20000000,0.00000000,1.17924528,1.00000000,1.00000000,0.47169811
0.26666667,0.00000000,1.15740741,1.00000000,1.00000000,0.46296296
0.33333333,0.00000000,1.13636364,1.00000000,1.00000000,0.45454545
0.40000000,0.00000000,1.11607143,1.00000000,1.00000000,0.44642857
0.46666667,0.00000000,1.09649123,1.00000000,1.00000000,0.43859649
0.53333333,0.00000000,1.07758621,1.00000000,1.00000000,0.43103448
0.60000000,0.00000000,1.05932203,1.00000000,1.00000000,0.42372881
0.66666667,0.00000000,1.04166667,1.00000000,1.00000000,0.41666667
0.73333333,0.00000000,1.02459016,1.00000000,1.00000000,0.40983607
0.80000000,0.00000000,1.00806452,1.00000000,1.00000000,0.40322581
0.86666667,0.00000000,0.99206349,0.99127331,0.98811889,0.39682540
0.93333333,0.00000000,0.97656250,0.97424918,0.96505056,0.39062500
1.00000000,0.00000000,0.96153846,0.95777462,0.94286603,0.38461538
1.06666667,0.00000000,0.94696970,0.94182386,0.92151864,0.37878788
1.13333333,0.00000000,0.93283582,0.92637267,0.90096480,0.37313433
1.20000000,0.00000000,0.91911765,0.91139830,0.88116382,0.36764706
1.26666667,0.00000000,0.90579710,0.89687934,0.86207766,0.36231884
1.33333333,0.00000000,0.89285714,0.88279563,0.84367070,0.35714286
1.40000000,0.00000000,0.88028169,0.86912819,0.82590958,0.35211268
1.46666667,0.00000000,0.86805556,0.85585910,0.80876301,0.34722222
1.53333333,0.00000000,0.85616438,0.84297146,0.79220164,0.34246575
1.60000000,0.00000000,0.84459459,0.83044931,0.77619787,0.33783784
1.66666667,0.00000000,0.83333333,0.81827754,0.76072577,0.33333333
1.73333333,0.00000000,0.82236842,0.80644187,0.74576095,0.32894737
1.80000000,0.00000000,0.81168831,0.79492878,0.73128041,0.32467532
1.86666667,0.00000000,0.80128205,0.78372546,0.71726249,0.32051282
1.93333333,0.00000000,0.79113924,0.77281976,0.70368678,0.31645570
2.00000000,0.00000000,0.78125000,0.76220016,0.69053397,0.31250000
2.06666667,0.00000000,0.77160494,0.75185570,0.67778585,0.30864198
2.13333333,0.00000000,0.76219512,0.74177601,0.66542521,0.30487805
2.20000000,0.00000000,0.75301205,0.73195118,0.65343574,0.30120482
2.26666667,0.00000000,0.74404762,0.72237183,0.64180205,0.29761905
2.33333333,0.00000000,0.73529412,0.71302901,0.63050950,0.29411765
2.40000000,0.00000000,0.72674419,0.70391419,0.61954428,0.29069767
2.46666667,0.00000000,0.71839080,0.69501926,0.60889323,0.28735632
2.53333333,0.00000000,0.71022727,0.68633647,0.59854391,0.28409091
2.60000000,0.00000000,0.70224719,0.67785845,0.58848448,0.28089888
2.66666667,0.00000000,0.69444444,0.66957813,0.57870370,0.27777778
2.73333333,0.00000000,0.68681319,0.66148879,0.56919089,0.27472527
2.80000000,0.00000000,0.67934783,0.65358400,0.55993586,0.27173913
2.86666667,0.00000000,0.67204301,0.64585760,0.55092896,0.26881720
